[2026-03-23T18:29:20.046Z] === Scrape started ===
[2026-03-23T18:45:56.823Z] [100/425] OK "The Making of Winston Churchill Part 1" (81 segments)
[2026-03-23T18:46:05.124Z] [101/425] OK "Founders - The best interview I've ever done about Founders" (186 segments)
[2026-03-23T18:46:13.479Z] [102/425] OK "Alistair Urquhart (Listen to this when you’re stressed)" (92 segments)
[2026-03-23T18:46:21.736Z] [103/425] OK "Ed Catmull (Founder of Pixar)" (122 segments)
[2026-03-23T18:46:30.014Z] [104/425] OK "Bugatti" (100 segments)
[2026-03-23T18:46:38.307Z] [105/425] OK "Balenciaga" (64 segments)
[2026-03-23T18:46:46.649Z] [106/425] OK "Paul Graham (How To Do Great Work)" (105 segments)
[2026-03-23T18:46:55.084Z] [107/425] OK "Christopher Nolan" (94 segments)
[2026-03-23T18:47:03.415Z] [108/425] OK "Mark Twain" (94 segments)
[2026-03-23T18:47:11.730Z] [109/425] OK "James Cameron" (137 segments)
[2026-03-23T18:47:20.062Z] [110/425] OK "Walt Disney and Picasso" (90 segments)
[2026-03-23T18:47:28.305Z] [111/425] OK "Arnold Schwarzenegger (Before He Was Successful)" (71 segments)
[2026-03-23T18:47:36.566Z] [112/425] OK "The Founder of Glock" (74 segments)
[2026-03-23T18:47:44.896Z] [113/425] OK "Founders - #307: The World's Great Family Dynasties: Rockefeller, Rothschild, Morgan, & Toyada" (109 segments)
[2026-03-23T18:47:53.223Z] [114/425] OK "David Ogilvy (Confessions of an Advertising Man)" (85 segments)
[2026-03-23T18:48:01.519Z] [115/425] OK "Robert Caro on power, poverty, ruthlessness, & obsession" (97 segments)
[2026-03-23T18:48:09.873Z] [116/425] OK "Founders - #304: Sol Price (The Founder Who Taught Jim Sinegal, Sam Walton, Jeff Bezos, Bernie Marcus)" (105 segments)
[2026-03-23T18:48:18.223Z] [117/425] OK "Rose Blumkin (Warren Buffett's Favorite Founder)" (64 segments)
[2026-03-23T18:48:26.646Z] [118/425] OK "Napoleon (The Mind of Napoleon)" (87 segments)
[2026-03-23T18:48:34.925Z] [119/425] OK "Tiger Woods" (119 segments)
[2026-03-23T18:48:43.223Z] [120/425] OK "James Dyson (Against the Odds)" (147 segments)
[2026-03-23T18:48:51.560Z] [121/425] OK "Steve Jobs (Make Something Wonderful)" (238 segments)
[2026-03-23T18:48:59.907Z] [122/425] OK "I had lunch with Sam Zell" (172 segments)
[2026-03-23T18:49:08.258Z] [123/425] OK "Yvon Chouinard (Patagonia)" (110 segments)
[2026-03-23T18:49:16.757Z] [124/425] OK "Founders - A conversation with David and Ben from the Acquired podcast" (495 segments)
[2026-03-23T18:49:25.055Z] [125/425] OK "Bernard Arnault (The Richest Man in the World)" (134 segments)
[2026-03-23T18:49:33.407Z] [126/425] OK "I had dinner with Charlie Munger" (136 segments)
[2026-03-23T18:49:41.782Z] [127/425] OK "Napoleon" (80 segments)
[2026-03-23T18:49:50.029Z] [128/425] OK "Founders - #293: Ray Kroc (The Making of McDonald's)" (102 segments)
[2026-03-23T18:49:58.375Z] [129/425] OK "Daniel Ludwig (The Invisible Billionaire)" (85 segments)
[2026-03-23T18:50:06.628Z] [130/425] OK "David Packard (Founder of HP)" (78 segments)
[2026-03-23T18:50:14.913Z] [131/425] OK "Bill Gates" (85 segments)
[2026-03-23T18:50:23.237Z] [132/425] OK "Brunello Cucinelli" (93 segments)
[2026-03-23T18:50:31.587Z] [133/425] OK "Ralph Lauren" (123 segments)
[2026-03-23T18:50:39.845Z] [134/425] OK "The Founder of Rolls-Royce" (58 segments)
[2026-03-23T18:50:48.232Z] [135/425] OK "Warren Buffett and Charlie Munger" (127 segments)
[2026-03-23T18:50:56.591Z] [136/425] OK "Jay Gould (How Jay Gould Built Wall Street's Biggest Fortune)" (106 segments)
[2026-03-23T18:51:04.861Z] [137/425] OK "Andrew Carnegie and Henry Clay Frick" (113 segments)
[2026-03-23T18:51:13.115Z] [138/425] OK "Andrew Carnegie" (95 segments)
[2026-03-23T18:51:21.416Z] [139/425] OK "Jeff Bezos Shareholder Letters" (127 segments)
[2026-03-23T18:51:29.767Z] [140/425] OK "Working with Steve Jobs" (68 segments)
[2026-03-23T18:51:38.039Z] [141/425] OK "Founders - The Founder of Kinkos — Paul Orfalea" (134 segments)
[2026-03-23T18:51:46.400Z] [142/425] OK "Jimi Hendrix" (102 segments)
[2026-03-23T18:51:54.755Z] [143/425] OK "What I Learned Before I Sold to Warren Buffett" (98 segments)
[2026-03-23T18:52:03.030Z] [144/425] OK "Peter Thiel" (96 segments)
[2026-03-23T18:52:11.295Z] [145/425] OK "Paul Graham's Essays Part 3" (78 segments)
[2026-03-23T18:52:19.623Z] [146/425] OK "Paul Graham’s Essays Part 2" (74 segments)
[2026-03-23T18:52:27.963Z] [147/425] OK "Paul Graham" (142 segments)
[2026-03-23T18:52:36.247Z] [148/425] OK "Jim Clark (Silicon Graphics, Netscape)" (85 segments)
[2026-03-23T18:52:44.585Z] [149/425] OK "Kobe Bryant (Mamba Mentality)" (62 segments)
[2026-03-23T18:52:52.854Z] [150/425] OK "Kobe Bryant (The Life)" (102 segments)
[2026-03-23T18:53:01.142Z] [151/425] OK "Vannevar Bush (Engineer of the American Century)" (94 segments)
[2026-03-23T18:53:09.485Z] [152/425] OK "Founders - #270: Vannevar Bush (Pieces of the Action)" (118 segments)
[2026-03-23T18:53:17.834Z] [153/425] OK "Sam Zell" (125 segments)
[2026-03-23T18:53:26.180Z] [154/425] OK "John Malone (Cable Cowboy)" (103 segments)
[2026-03-23T18:53:34.476Z] [155/425] OK "Thomas Edison" (129 segments)
[2026-03-23T18:53:42.829Z] [156/425] OK "Henry Ford's Autobiography" (141 segments)
[2026-03-23T18:53:51.197Z] [157/425] OK "Becoming Steve Jobs: The Evolution of a Reckless Upstart into a Visionary Leader" (161 segments)
[2026-03-23T18:53:59.577Z] [158/425] OK "The Story of Edwin Land and Polaroid" (94 segments)
[2026-03-23T18:54:07.946Z] [159/425] OK "Land's Polaroid: A Company and the Man Who Invented It" (125 segments)
[2026-03-23T18:54:16.235Z] [160/425] OK "Herbie Cohen (World's Greatest Negotiator)" (99 segments)
[2026-03-23T18:54:24.490Z] [161/425] OK "Dee Hock's Autobiography of a Restless Mind Volume One and Two" (56 segments)
[2026-03-23T18:54:32.830Z] [162/425] OK "One from Many: VISA and the Rise of Chaordic Organization" (128 segments)
[2026-03-23T18:54:41.180Z] [163/425] OK "Bob Dylan" (134 segments)
[2026-03-23T18:54:49.604Z] [164/425] OK "Founders - #258: Jay Gould (Dark Genius of Wall Street)" (168 segments)
[2026-03-23T18:54:57.982Z] [165/425] OK "Richard Garriott (Video Games and Space Exploration)" (143 segments)
[2026-03-23T18:55:06.336Z] [166/425] OK "Edward L. Bernays (Public Relations, Advertising, & Persuasion)" (139 segments)
[2026-03-23T18:55:14.743Z] [167/425] OK "Sam Zemurray (Banana King)" (170 segments)
[2026-03-23T18:55:23.180Z] [168/425] OK "John D. Rockefeller: The Founding Father of the Rockefellers" (167 segments)
[2026-03-23T18:55:31.506Z] [169/425] OK "Henry Goldman (Goldman Sachs)" (96 segments)
[2026-03-23T18:55:39.873Z] [170/425] OK "Socrates" (74 segments)
[2026-03-23T18:55:48.156Z] [171/425] OK "Ben Franklin and George Washington: The Founding Partnership" (95 segments)
[2026-03-23T18:55:56.520Z] [172/425] OK "Jacob Fugger (The Richest Man Who Ever Lived)" (98 segments)
[2026-03-23T18:56:04.863Z] [173/425] OK "Founders - Steve Jobs's Heroes" (60 segments)
[2026-03-23T18:56:13.120Z] [174/425] OK "Steve Jobs In His Own Words" (93 segments)
[2026-03-23T18:56:21.423Z] [175/425] OK "John D. Rockefeller (Titan)" (186 segments)
[2026-03-23T18:56:29.721Z] [176/425] OK "Henry Flagler (Rockefeller's partner)" (131 segments)
[2026-03-23T18:56:38.074Z] [177/425] OK "Mark Leonard's Shareholder Letters" (93 segments)
[2026-03-23T18:56:46.431Z] [178/425] OK "Rick Rubin (In the Studio)" (148 segments)
[2026-03-23T18:56:54.701Z] [179/425] OK "Harry Snyder (In-N-Out Burger)" (119 segments)
[2026-03-23T18:57:03.042Z] [180/425] OK "Francis Greenburger (Real Estate Billionaire)" (127 segments)
[2026-03-23T18:57:11.331Z] [181/425] OK "Francis Ford Coppola: A Filmmaker's Life" (147 segments)
[2026-03-23T18:57:19.637Z] [182/425] OK "The Wright Brothers, Glenn Curtiss, and the Battle to Control the Skies" (156 segments)
[2026-03-23T18:57:27.898Z] [183/425] OK "Mozart: A Life" (74 segments)
